"Date","Price","Open","High","Low","Change %"
"Apr 30, 2008","1.2796","1.2897","1.2941","1.2724","-0.71%"
"Apr 29, 2008","1.2887","1.2744","1.2944","1.2716","1.22%"
"Apr 28, 2008","1.2732","1.2758","1.2785","1.2684","-0.56%"
"Apr 25, 2008","1.2804","1.2692","1.2849","1.2671","0.84%"
"Apr 24, 2008","1.2697","1.2604","1.2723","1.2566","0.72%"
"Apr 23, 2008","1.2606","1.2538","1.2614","1.2433","0.43%"
"Apr 22, 2008","1.2552","1.2594","1.2655","1.2511","-0.36%"
"Apr 21, 2008","1.2597","1.2645","1.2666","1.2534","-0.44%"
"Apr 18, 2008","1.2653","1.2660","1.2739","1.2583","-0.02%"
"Apr 17, 2008","1.2655","1.2614","1.2735","1.2596","0.20%"
"Apr 16, 2008","1.2630","1.2713","1.2769","1.2604","-0.61%"
"Apr 15, 2008","1.2708","1.2618","1.2781","1.2575","0.65%"
"Apr 14, 2008","1.2626","1.2666","1.2736","1.2612","0.12%"
"Apr 11, 2008","1.2611","1.2523","1.2620","1.2475","0.77%"
"Apr 10, 2008","1.2515","1.2520","1.2563","1.2453","-0.10%"
"Apr 09, 2008","1.2528","1.2498","1.2614","1.2484","0.18%"
"Apr 08, 2008","1.2506","1.2579","1.2633","1.2494","-0.59%"
"Apr 07, 2008","1.2580","1.2668","1.2714","1.2511","-0.74%"
"Apr 04, 2008","1.2674","1.2731","1.2796","1.2645","-0.51%"
"Apr 03, 2008","1.2739","1.2661","1.2807","1.2633","0.60%"
"Apr 02, 2008","1.2663","1.2700","1.2758","1.2609","-0.38%"
"Apr 01, 2008","1.2711","1.2731","1.2852","1.2682","-0.09%"
"Mar 31, 2008","1.2723","1.2563","1.2748","1.2558","1.43%"
"Mar 28, 2008","1.2544","1.2425","1.2595","1.2387","0.60%"
"Mar 27, 2008","1.2469","1.2405","1.2503","1.2390","0.31%"
"Mar 26, 2008","1.2431","1.2384","1.2513","1.2335","0.26%"
"Mar 25, 2008","1.2399","1.2519","1.2535","1.2366","-1.05%"
"Mar 24, 2008","1.2530","1.2629","1.2690","1.2498","-0.80%"
"Mar 21, 2008","1.2631","1.2614","1.2668","1.2558","-0.02%"
"Mar 20, 2008","1.2633","1.2522","1.2715","1.2421","0.84%"
"Mar 19, 2008","1.2528","1.2323","1.2549","1.2223","1.24%"
"Mar 18, 2008","1.2374","1.2508","1.2534","1.2311","-1.01%"
"Mar 17, 2008","1.2500","1.2320","1.2626","1.2188","1.73%"
"Mar 14, 2008","1.2288","1.2228","1.2325","1.2168","0.45%"
"Mar 13, 2008","1.2233","1.2387","1.2482","1.2210","-1.39%"
"Mar 12, 2008","1.2405","1.2429","1.2509","1.2353","-0.20%"
